"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHFA","CURDEP","PC_HHFA","A","1995",24.10365,
"AUS","HHFA","CURDEP","PC_HHFA","A","1996",23.47598,
"AUS","HHFA","CURDEP","PC_HHFA","A","1997",22.49735,
"AUS","HHFA","CURDEP","PC_HHFA","A","1998",21.04211,
"AUS","HHFA","CURDEP","PC_HHFA","A","1999",19.17368,
"AUS","HHFA","CURDEP","PC_HHFA","A","2000",18.9329,
"AUS","HHFA","CURDEP","PC_HHFA","A","2001",18.60486,
"AUS","HHFA","CURDEP","PC_HHFA","A","2002",19.46236,
"AUS","HHFA","CURDEP","PC_HHFA","A","2003",19.35537,
"AUS","HHFA","CURDEP","PC_HHFA","A","2004",18.12315,
"AUS","HHFA","CURDEP","PC_HHFA","A","2005",17.33121,
"AUS","HHFA","CURDEP","PC_HHFA","A","2006",16.73376,
"AUS","HHFA","CURDEP","PC_HHFA","A","2007",16.3708,
"AUS","HHFA","CURDEP","PC_HHFA","A","2008",21.60965,
"AUS","HHFA","CURDEP","PC_HHFA","A","2009",20.29014,
"AUS","HHFA","CURDEP","PC_HHFA","A","2010",21.33072,
"AUS","HHFA","CURDEP","PC_HHFA","A","2011",23.03802,
"AUS","HHFA","CURDEP","PC_HHFA","A","2012",21.92215,
"AUS","HHFA","CURDEP","PC_HHFA","A","2013",21.96561,
"AUS","HHFA","CURDEP","PC_HHFA","A","2014",21.9384,
"AUS","HHFA","CURDEP","PC_HHFA","A","2015",22.146,
"AUS","HHFA","CURDEP","PC_HHFA","A","2016",21.78206,
"AUS","HHFA","CURDEP","PC_HHFA","A","2017",21.41076,
"AUS","HHFA","CURDEP","PC_HHFA","A","2018",21.84803,
"AUS","HHFA","CURDEP","PC_HHFA","A","2019",20.1226,
"AUS","HHFA","CURDEP","PC_HHFA","A","2020",21.52034,
"AUS","HHFA","CURDEP","PC_HHFA","A","2021",21.63076,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1995",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1996",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1997",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1998",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","1999",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2000",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2001",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2002",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2003",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2004",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2005",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2006",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2007",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2008",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2009",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2010",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2011",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2012",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2013",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2014",0,
"AUS","HHFA","LIFEINSRSV","PC_HHFA","A","2015",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1995",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1996",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1997",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1998",0,
"AUS","HHFA","MFSH","PC_HHFA","A","1999",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2000",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2001",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2002",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2003",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2004",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2005",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2006",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2007",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2008",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2009",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2010",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2011",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2012",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2013",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2014",0,
"AUS","HHFA","MFSH","PC_HHFA","A","2015",0,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1995",46.23797,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1996",46.87403,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1997",48.39762,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1998",47.5476,
"AUS","HHFA","PENSIONF","PC_HHFA","A","1999",50.0201,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2000",50.42456,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2001",49.97427,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2002",48.5131,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2003",47.94854,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2004",48.8325,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2005",49.70515,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2006",52.2128,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2007",54.82508,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2008",50.40496,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2009",53.90203,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2010",54.06306,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2011",52.57547,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2012",55.26931,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2013",55.57335,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2014",55.66847,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2015",55.64333,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2016",56.36628,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2017",56.55974,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2018",55.74677,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2019",58.10987,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2020",56.90764,
"AUS","HHFA","PENSIONF","PC_HHFA","A","2021",56.88956,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","1995",2.767005,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","1996",2.739291,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","1997",2.338529,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","1998",1.955163,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","1999",1.721669,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2000",1.33781,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2001",1.256737,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2002",1.057166,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2003",0.8883848,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2004",0.7452731,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2005",0.7768236,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2006",0.6502247,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2007",0.5921761,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2008",0.5363241,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2009",0.3836508,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2010",0.3091466,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2011",0.269378,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2012",0.2142771,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2013",0.1766374,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2014",0.208118,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2015",0.1818917,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2016",0.1829358,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2017",0.174219,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2018",0.1590816,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2019",0.1262845,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2020",0.1081971,
"AUS","HHFA","SECOTHSH","PC_HHFA","A","2021",0.0962762,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","1995",20.55895,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","1996",20.57618,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","1997",20.50469,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","1998",23.8476,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","1999",24.1722,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2000",24.36187,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2001",24.86975,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2002",25.92232,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2003",27.03257,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2004",27.72951,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2005",28.48602,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2006",26.98756,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2007",24.47541,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2008",22.76893,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2009",21.46334,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2010",20.36611,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2011",19.88544,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2012",18.84938,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2013",18.76902,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2014",19.02313,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2015",19.1878,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2016",18.92811,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2017",19.05973,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2018",19.28275,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2019",18.61919,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2020",18.19631,
"AUS","HHFA","SHOTHEQTY","PC_HHFA","A","2021",18.0038,
"AUT","HHFA","CURDEP","PC_HHFA","A","1995",53.00537,
"AUT","HHFA","CURDEP","PC_HHFA","A","1996",52.2233,
"AUT","HHFA","CURDEP","PC_HHFA","A","1997",51.08856,
